Sample in Buffer,Sample in Window,TRIGGER,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tdata[159:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tdata[159:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tdata[63:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tdata[63:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tlast,Interface_(i4:s0)_(dac_ctrl_ch4)[2:0],Interface_(i4:s1)_(dac_ctrl_ch5)[2:0],Interface_(i4:s2)_(SF_COMP_hier_M_AXIS_OUT_CH0)[2:0],Interface_(i4:s3)_(SF_COMP_hier_M_AXIS_OUT_CH1)[2:0],T_Channel_(i4:s0)_(dac_ctrl_ch4)[2:0],T_Channel_(i4:s1)_(dac_ctrl_ch5)[2:0],T_Channel_(i4:s2)_(SF_COMP_hier_M_AXIS_OUT_CH0)[2:0],T_Channel_(i4:s3)_(SF_COMP_hier_M_AXIS_OUT_CH1)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
52,52,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0011111111111110000000000000000000000000000000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
53,53,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000010000000000000000111111111111101111111111111000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
54,54,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000100000000000010000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
55,55,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000100000000000010000000000000000000000000000100000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
56,56,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000001000000000000000000000000000000000000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
57,57,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0010111111111111100000000000001011111111111110000000000000100000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
58,58,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000001000000000000000000000000000000000000000001,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
59,59,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000010000000000000001111111111111000000000000010000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
60,60,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000001000000000000010000000000000001111111111111000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
61,61,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111111111000000000000010000000000000100000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
62,62,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000100000000000010011111111111110000000000000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
63,63,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000100000000000000000000000000100000000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
64,64,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0010000000000000100000000000001000000000000000000000000000001111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
65,65,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111110000000000000100000000000001000000000000010000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
66,66,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000111111111111100000000000000011111111111100000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
67,67,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000001000000000000010000000000000001111111111111000000000000010,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
68,68,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000001011111111111110111111111111100000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
69,69,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000100000000000011000000000000000000000000000000000000000001000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
